AD_T1	AD_T2	AD_T3	KO_T1	KO_T2	KO_T3
4933401J01Rik	5857.47629214793	6419.13116871731	5779.76828838519	5993.08896445351	6064.35578442904	6412.15648230983
Gm26206	0	0	0	0	0	0
Xkr4	1281.58860818766	1289.27652810425	1236.94001136213	1289.38921129308	1274.3111592046	1231.99524516321
Gm18956	0	0	0	0	0	0
Gm37180	0	0	0	0	0	0
Gm37363	15.9401568182545	20.6735303340332	39.0168631034943	21.7534989635336	22.7555564143679	21.9287179559795
Gm37686	716.244379700237	734.850032782453	671.722751268266	778.181985650043	760.41484351346	744.579650596213
Gm1992	6757.5638138187	7047.79443205678	6078.19456563624	4768.96025005103	5095.34834045054	5355.59098079445
Gm37329	6011.56447472439	6530.01646778167	5840.92985757445	5403.76690162323	5342.81501645679	5622.72263589456
Gm7341	213.598101364611	217.072068507349	286.826669301363	218.523785042769	194.370377706059	222.277459281065
Gm38148	1602.51709879519	1484.73536035329	1647.14432885562	1592.94940137512	1560.65191075206	1652.62792595518
Gm19938	1.06267712121697	0	0	1.97759081486669	0.948148183931995	2.99027972126993
Gm10568	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0
Gm37381	0	0	0	0	0	0
Rp1	0	0	0	0	0	0
Gm6101	962.785471822574	1001.72651527634	835.171772377499	847.397664170377	887.466700160347	854.223240376111
Gm37483	2220.99518334346	2168.84127322494	2132.21884311528	2249.50955191086	2303.05193877082	2352.35338073235
Sox17	821.449414700717	839.157390376893	893.169812125936	1065.92144921315	913.066701126511	928.980233407859
Gm37587	0	0	0	0	0	0
Gm7357	258.230540455723	249.961775856947	266.790982842812	273.896327859037	274.962973340279	243.209417329955
Gm22307	657.797138033304	701.020619508581	673.831770895482	742.585350982442	756.622250777732	720.657412826054
Gm38076	114.769129091433	172.90589006646	177.157648686136	134.476175410935	164.029635820235	146.523706342227
Gm37323	0	0	0	0	0	0
Gm7369	1.06267712121697	1.87941184854847	0	1.97759081486669	6.63703728752397	3.98703962835991
Gm6085	8.50141696973575	15.975000712662	7.38156869525567	11.8655448892001	19.9111118625719	12.9578787921697
Gm6119	1368.72813212746	1369.15153166756	1424.64275818434	1235.99425929168	1255.34819552596	1229.00496544194
Gm25493	1775.73346955355	1832.42655233476	1994.07805753264	1735.33594004552	1737.00747296342	1778.21967424852
Gm2053	1.06267712121697	0	0	0	0	0
Gm6123	0	0	0	0	0	0
Mrpl15	9964.72336565151	10097.1401563267	9566.51302905135	8332.5788984408	8265.0077193352	8293.04242698861
Gm37144	825.700123185585	812.845624497215	769.792163933806	858.274413652144	910.222256574715	716.670373197694
Lypla1	10.6267712121697	1.87941184854847	10.5450981360795	10.8767494817668	12.3259263911159	6.97731934962984
Gm37988	0	0	0	0	0	0
Tcea1	0	0	3.16352944082386	0	0	2.99027972126993
Gm6104	0	0	0	0	0	0
Gm37277	0	0	0	0	0	0
Rgs20	0	0	0	0	0	0
Gm17100	27.6296051516412	21.6132362583074	12.6541177632954	16.8095219263669	17.0666673107759	16.9449184205296
Gm37079	1.06267712121697	7.51764739419389	0	3.95518162973338	12.3259263911159	4.98379953544989
Gm16041	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0
Atp6v1h	2.12535424243394	3.75882369709695	2.10901962721591	3.95518162973338	0.948148183931995	0.996759907089978
Gm7182	0	0	0	0	0	0
Gm37567	464.389901971815	428.505901469052	460.820788546676	304.54898548947	342.28149439945	320.956690082973
Gm38264	3165.71514410535	3050.28543019417	3161.42042119664	3022.74756052374	2938.31122200525	2880.63613149004
Oprk1	448.449745153561	475.491197682764	472.420396496363	454.845887419339	399.17038543537	512.334592244248
Gm36965	4673.65397911223	4764.30903607038	4701.00474906426	4597.89864456506	4560.5927647129	4371.78895249664
Gm22463	906.463584398074	765.860328283503	958.549420569629	905.736593208945	772.740769904576	775.479207716003
Gm37429	36.1310221213769	19.733824409759	30.5807845946306	37.5742254824671	24.6518527822319	27.9092773985194
Npbwr1	448.449745153561	430.3853133176	462.929808173891	405.406117047672	447.525942815902	436.58083930541
Gm19214	1138.12719682337	1082.54122476392	1186.32354030895	909.691774838678	911.170404758647	965.860349970188
Rb1cc1	44.6324390911127	73.2970620933905	43.2349023579261	69.2156785203342	59.7333355877157	52.8282750757688
4732440D04Rik	10568.3239705028	11204.1137351217	10638.9495094906	13817.4270234736	14423.2301739735	13757.2802376559
Fam150a	0	0	0	0	0	0
Gm2147	0	3.75882369709695	2.10901962721591	0	0	1.99351981417996
Gm7417	0	0	5.27254906803977	0	0	0.996759907089978
Gm19026	0	3.75882369709695	0	0	0	0.996759907089978
St18	0	0	0	0	0	0
Gm42492	113.706451970216	99.6088279730691	103.341961733579	105.801108595368	97.6592629449955	87.714871823918
Gm7449	1394.23238303666	1311.82947028683	1492.13138625525	1409.03345559252	1346.37042118343	1287.81379996025
Gm37108	899.024844549555	944.404453895608	840.444321445539	881.016708023111	854.281513722728	884.12603758881
Gm37275	910.714292882942	1018.64122191327	886.842753244289	982.862634988746	1097.95559699325	1127.33545491876
Gm37225	5794.77834199613	6205.81792390706	6164.66437035209	6546.81439261618	6454.04468802509	6215.7947806131
Gm37489	419.757462880703	431.325019241875	369.078434762784	412.327684899705	394.42964451571	413.655361442341
Gm5694	0	0	0	0	0	0
Pcmtd1	0	0	0	0	0	0
Gm26983	1225.26672076316	1211.28093638949	1206.3592267675	1275.54607558902	1376.71116306926	1307.74899810205
Gm38372	1129.62577985364	1000.78680935206	1111.45334354278	1195.45364758691	1120.71115340762	1101.41969733443
Gm9826	0	0	0	0	0	0
Nras-ps2	2161.48526455531	1927.33685068646	2179.67178472764	2319.71402583863	2237.62971407951	2103.16340395985
Gm23274	2231.62195455563	2424.44128462753	2382.13766894037	2772.5823224431	2685.15565689541	2701.21934821384
Gm19002	31.8803136365091	21.6132362583074	28.4717649674147	51.417361186534	55.9407428519877	36.8801165623292
Gm26901	0	0	0	0	0	0
Gm18984	0	0	0	0	0	0
Gm30414	2367.64462607141	2380.27510618664	2368.42904136346	2242.58798405883	2206.34082400975	2122.10184219456
Gm37791	0	0	0	0	0	0
Gm7470	53.1338560608484	65.7794146991966	50.6164710531818	50.4285657791006	27.4962973340279	48.8412354474089
Rps2-ps2	0	0	0	0	0	0
Gm38216	0	0	0	0	0	0
Sntg1	4466.43194047492	4646.8457955361	4288.69141194355	4395.19558604122	4254.34090130286	4626.95948871168
Gm38024	0	0	0	0	0	0
Gm16284	2172.11203576748	2213.9471575901	2199.70747118619	2173.37230553849	2165.57045210068	2144.03056015054
Gm38259	3316.61529531816	3537.9928048925	3217.30944131787	2338.50113857986	2421.57046176232	2472.96132949023
Gm23358	2736.39358713369	2820.99718467126	2734.34394668542	2796.3134122215	2665.24454503284	2756.04114310379
Gm37005	12.7521254546036	14.0955888641136	5.27254906803977	13.8431357040668	11.3777782071839	8.9708391638098
Gm15452	178.529756364451	163.508830823717	142.358824837074	60.3165198534341	63.5259283234437	37.8768764694191
Gm36964	7.43873984851878	8.45735331846813	0	2.96638622230004	0	1.99351981417996
Gm24276	1174.25821894475	1151.13975723594	1253.81216837986	1265.65812151468	1104.59263428077	1215.05032674268
Gm6152	1108.3722374293	1132.34563875046	1094.58118652506	1140.08110477065	1254.40004734203	1198.10540832215
Gm7445	596.161865002719	552.547083473251	647.469025555283	608.109175571508	583.111133118177	589.085105090177
Gm7493	103.079680758046	95.8500042759722	78.0337262069885	179.960764152869	222.814823224019	172.439463926566
Gm37629	620.60343879071	592.954438217043	756.083536356902	578.445313348507	456.05927647129	454.52251763303
Gm38008	1389.98167455179	1216.91917193514	1325.5188357052	1173.70014862338	1231.64449092766	1142.28685352511
Gm37143	0	0	0	0	0	0
Gm6187	3287.9230130453	3413.01191696403	3145.60277399252	3051.4226273393	3159.22974886141	3274.35629479058
Gm18299	0	0	0	0	0	0
Gm7512	4681.09271896075	4647.78550146037	4731.58553365889	4868.82858620179	4667.73350949721	4778.46699458935
Gm24765	0	0	2.10901962721591	0	0	0
Gm18300	5394.14906729733	5568.69730724913	5251.45887176761	5273.24590784203	5211.97056707418	5345.62338172355
Rrs1	1.06267712121697	9.39705924274237	1.05450981360795	1.97759081486669	1.89629636786399	0.996759907089978
Adhfe1	822.512091821934	841.036802225442	717.066673253408	767.305236168276	669.392617855989	816.346363906692
2610203C22Rik	61.6352730305842	59.2014732292769	85.4152949022442	23.7310897784003	22.7555564143679	10.9643589779898
Gm6161	930.905158186064	1004.54563304916	891.060792498721	1054.05590432395	1045.80744687699	1078.49421947136
3110035E14Rik	550.46674879039	630.542675188013	693.867457354033	697.100762240509	730.074101627636	680.787016542455
Gm29520	0	0	0	0	0	0
Mybl1	0	0	0	0	0	0
Vcpip1	4.25070848486787	5.63823554564542	7.38156869525567	0	5.68888910359197	0
1700034P13Rik	2502.60462046596	2569.15599696576	2308.32198198781	2807.19016170327	2907.97048011943	2835.78193567099
Sgk3	4738.47728350646	4325.46636943431	4541.77376720945	4924.20112901806	5168.35575061331	4758.53179644755
Gm6195	0	0	0	0	0	0
